TIME,DATA_VALUE,retrieved_at
19970819,12.32,2026-08-24
19970820,12.31,2026-08-24
19970821,12.29,2026-08-24
19970822,12.27,2026-08-24
19970823,12.22,2026-08-24
19970825,12.15,2026-08-24
19970826,12.25,2026-08-24
19970827,12.23,2026-08-24
19970828,12.2,2026-08-24
19970829,12.16,2026-08-24
19970830,12.16,2026-08-24
19970901,12.25,2026-08-24
19970902,12.3,2026-08-24
19970903,12.3,2026-08-24
19970904,12.25,2026-08-24
19970905,12.18,2026-08-24
19970906,12.18,2026-08-24
19970908,12.2,2026-08-24
19970909,12.27,2026-08-24
19970910,12.35,2026-08-24
19970911,12.4,2026-08-24
19970912,12.35,2026-08-24
19970913,12.35,2026-08-24
19970918,12.32,2026-08-24
19970919,12.32,2026-08-24
19970920,12.32,2026-08-24
19970922,12.36,2026-08-24
19970923,12.4,2026-08-24
19970924,12.42,2026-08-24
19970925,12.5,2026-08-24
19970926,12.55,2026-08-24
19970927,12.55,2026-08-24
19970929,12.63,2026-08-24
19970930,12.6,2026-08-24
19971001,12.5,2026-08-24
19971002,12.52,2026-08-24
19971004,12.52,2026-08-24
19971006,12.5,2026-08-24
19971007,12.52,2026-08-24
19971008,12.55,2026-08-24
19971009,12.57,2026-08-24
19971010,12.6,2026-08-24
19971011,12.6,2026-08-24
19971013,12.6,2026-08-24
19971014,12.55,2026-08-24
19971015,12.52,2026-08-24
19971016,12.55,2026-08-24
19971017,12.5,2026-08-24
19971018,12.5,2026-08-24
19971020,12.5,2026-08-24
19971021,12.45,2026-08-24
19971022,12.35,2026-08-24
19971023,12.3,2026-08-24
19971024,12.42,2026-08-24
19971025,12.42,2026-08-24
19971027,12.6,2026-08-24
19971028,12.7,2026-08-24
19971029,12.63,2026-08-24
19971030,12.62,2026-08-24
19971031,12.6,2026-08-24
19971101,12.6,2026-08-24
19971103,12.6,2026-08-24
19971104,12.55,2026-08-24
19971105,12.58,2026-08-24
19971106,12.68,2026-08-24
19971107,12.8,2026-08-24
19971108,12.8,2026-08-24
19971110,12.9,2026-08-24
19971111,13,2026-08-24
19971112,13.15,2026-08-24
19971113,13.22,2026-08-24
19971114,13.3,2026-08-24
19971115,13.3,2026-08-24
19971117,13.4,2026-08-24
19971118,13.65,2026-08-24
19971119,14,2026-08-24
19971120,14.3,2026-08-24
19971121,14.5,2026-08-24
19971122,14.5,2026-08-24
19971124,16.05,2026-08-24
19971125,17.6,2026-08-24
19971126,18.55,2026-08-24
19971127,17.25,2026-08-24
19971128,15.64,2026-08-24
19971129,15.1,2026-08-24
19971201,17.5,2026-08-24
19971202,18.23,2026-08-24
19971203,18.74,2026-08-24
19971204,18.85,2026-08-24
19971205,19.19,2026-08-24
19971206,19.95,2026-08-24
19971208,22.95,2026-08-24
19971209,24.95,2026-08-24
19971210,25.48,2026-08-24
19971211,22.9,2026-08-24
19971212,24.68,2026-08-24
19971213,22.43,2026-08-24
19971215,20.78,2026-08-24
19971216,21.2,2026-08-24
19971217,23.31,2026-08-24
19971219,26.14,2026-08-24
19971220,27.15,2026-08-24
19971222,30,2026-08-24
19971223,31.11,2026-08-24
19971224,29,2026-08-24
19971226,27,2026-08-24
19971227,27,2026-08-24
19971229,29.49,2026-08-24
19971230,30.89,2026-08-24
19971231,28.98,2026-08-24
19980103,28.98,2026-08-24
19980105,25.53,2026-08-24
19980106,25,2026-08-24
19980107,25,2026-08-24
19980108,25,2026-08-24
19980109,24.45,2026-08-24
19980110,24.05,2026-08-24
19980112,22.51,2026-08-24
19980113,22.5,2026-08-24
19980114,23,2026-08-24
19980115,23.5,2026-08-24
19980116,23.5,2026-08-24
19980119,24.5,2026-08-24
19980120,24.5,2026-08-24
19980121,23.3,2026-08-24
19980122,22.8,2026-08-24
19980123,22,2026-08-24
19980126,21.2,2026-08-24
19980130,18.5,2026-08-24
19980202,19.5,2026-08-24
19980203,19.32,2026-08-24
19980204,18.11,2026-08-24
19980205,18.22,2026-08-24
19980206,18.42,2026-08-24
19980209,18.23,2026-08-24
19980210,18.81,2026-08-24
19980211,20,2026-08-24
19980212,20.26,2026-08-24
19980213,20,2026-08-24
19980216,20.5,2026-08-24
19980217,21.5,2026-08-24
19980218,21,2026-08-24
19980219,20.5,2026-08-24
19980220,20,2026-08-24
19980223,20,2026-08-24
19980224,20,2026-08-24
19980225,20.5,2026-08-24
19980226,20.5,2026-08-24
19980227,20.5,2026-08-24
19980302,19.84,2026-08-24
19980303,19,2026-08-24
19980304,19,2026-08-24
19980305,19,2026-08-24
19980306,19.5,2026-08-24
