,3Y realised21,3Y GARCH,10Y realised21,10Y GARCH
2022-05-26,6.132446882110335,5.931083910499436,6.271492569366489,5.961099044649701
2022-05-27,5.940157926391873,5.645313143870648,6.281924182013936,5.9131721178155425
2022-05-30,5.926433923331893,5.368261924903557,6.2480625568479855,5.7364647837328775
2022-05-31,6.111258151189182,5.10413679589045,6.492042748443611,5.554046022096656
2022-06-02,5.646849100330624,5.461371064718614,5.850083434488455,6.0579974773513525
2022-06-03,5.568897471458698,5.954333537428324,5.848076606885381,6.291874746659888
2022-06-07,6.036496145470953,5.658776414102508,6.540838740449989,6.097835918251096
2022-06-08,6.0607441001595665,6.40935213486163,6.752220093456386,6.822692510544947
2022-06-09,5.848666921778389,6.207132556534806,6.752220093456386,6.848587976731165
2022-06-10,6.201017581624728,5.9507147337137845,6.750897647544289,6.626962447576571
2022-06-13,7.3245217623827825,6.52928788388659,6.927402454160192,6.423291558044799
2022-06-14,7.2647419906336745,10.186604696548732,6.509081567866761,7.833105484414169
2022-06-15,7.409379512611343,9.700451521301291,6.60752096730183,7.577502764832342
2022-06-16,7.2402545338051265,9.737296515631165,6.620005754565186,7.63205644749165
2022-06-17,7.176671864284937,9.504643286371836,6.615256536795759,7.381854641145353
2022-06-20,7.614169122666723,9.056405313285637,6.6524037903960815,7.163877072934141
2022-06-21,7.625589750807407,8.980990257448365,6.664704473139503,6.9344783842799105
2022-06-22,8.348629770664106,8.529190964803243,6.893558069469122,6.716678748247304
2022-06-23,8.468546847853275,9.232914015824381,6.923183963356468,6.948400214739905
2022-06-24,8.691928384864834,9.21650248816424,7.209319365535532,6.840523500556143
2022-06-27,8.653562437351612,9.304802538349973,7.285955178090433,7.087086361421217
2022-06-28,8.672677402817037,8.973278558960793,7.346874943033354,7.201939065895311
2022-06-29,8.663654238362971,8.518645266591726,7.374951170136972,7.000111910233209
2022-06-30,8.673953896031271,8.087297460607047,7.4826402266783285,6.8014910795644345
2022-07-01,9.116941320838857,7.679632022154438,7.813980145501111,6.654218012291665
2022-07-04,8.998293489005881,8.124035941989355,7.601610105134048,7.187407158673945
2022-07-05,9.56924637526258,7.739386528568425,7.98623816324056,6.971007264946134
2022-07-06,9.330237581826804,8.503366128048269,7.437914454238599,7.297837736199825
2022-07-07,9.308521441591644,8.187002895672137,7.323614772319294,7.2375436186718725
2022-07-08,9.324391975581339,7.830969814099987,7.405445229533408,7.00989113016718
2022-07-11,9.060534515925958,7.565319401140565,7.4224658975302855,6.872480384487051
2022-07-12,7.019221907766994,7.185180383996309,6.011017662038049,6.6789417386209005
2022-07-13,7.037938009713597,7.005484998299785,6.0072931865001795,6.585335557027267
