,change_bp,ruptures(pen=20),MarkovRegression(k=2),hmmlearn(states=2)
2023-06-08,11.0,0,1,1
2023-06-09,-1.5,0,1,1
2023-06-12,-4.2999999999999545,0,1,1
2023-06-13,0.5999999999999659,0,1,1
2023-06-14,4.5,0,1,1
2023-06-15,6.0,0,1,1
2023-06-16,-2.6999999999999886,0,1,1
2023-06-19,-2.3000000000000114,0,1,1
2023-06-20,1.0000000000000568,0,0,1
2023-06-21,-2.2999999999999545,0,0,1
2023-06-22,3.099999999999909,0,0,1
2023-06-23,1.6999999999999886,0,0,1
2023-06-26,-6.299999999999898,0,1,1
2023-06-27,-0.5000000000001137,0,1,1
2023-06-28,0.8000000000000114,0,1,1
2023-06-29,2.3999999999999773,0,1,1
2023-06-30,2.7000000000000455,0,1,1
2023-07-03,-7.100000000000023,0,1,1
2023-07-04,4.0,0,1,1
2023-07-05,0.5,0,1,1
2023-07-06,8.0,0,1,1
2023-07-07,4.300000000000011,0,1,1
2023-07-10,10.900000000000091,0,1,1
2023-07-11,-10.700000000000102,0,1,1
2023-07-12,-0.30000000000001137,0,1,1
2023-07-13,-9.699999999999989,0,1,1
2023-07-14,3.0,0,1,1
2023-07-17,-3.0,0,1,1
2023-07-18,-1.4999999999999432,0,1,1
2023-07-19,-7.0,0,1,1
2023-07-20,3.499999999999943,0,1,1
2023-07-21,2.5,0,1,1
2023-07-24,1.1000000000000227,0,1,1
2023-07-25,3.3999999999999773,0,1,1
2023-07-26,-2.5,0,1,1
2023-07-27,-1.8000000000000114,0,1,1
2023-07-28,9.400000000000034,0,1,1
2023-07-31,3.400000000000034,0,1,1
2023-08-01,-3.2000000000000455,0,1,1
2023-08-02,4.699999999999989,0,1,1
2023-08-03,8.0,0,1,1
2023-08-04,1.3999999999999773,0,1,1
2023-08-07,-5.599999999999966,0,1,1
2023-08-08,-8.100000000000023,0,1,1
2023-08-09,3.900000000000034,0,1,1
2023-08-10,0.39999999999997726,0,1,1
2023-08-11,4.0,0,1,1
2023-08-14,8.0,0,1,1
2023-08-16,-3.8999999999999204,0,1,1
2023-08-17,10.199999999999932,0,1,1
2023-08-18,-5.800000000000011,0,1,1
2023-08-21,6.200000000000102,0,1,1
2023-08-22,1.699999999999875,0,1,1
2023-08-23,-6.399999999999977,0,1,1
2023-08-24,-4.300000000000011,0,1,1
2023-08-25,5.600000000000023,0,1,1
2023-08-28,-6.100000000000023,0,1,1
2023-08-29,-2.699999999999932,0,1,1
2023-08-30,1.1999999999999318,0,1,1
2023-08-31,-3.1999999999999886,0,1,1
2023-09-01,-4.5,0,1,1
2023-09-04,7.5,0,1,1
2023-09-05,3.2000000000001023,0,1,1
2023-09-06,1.7999999999998977,0,1,1
2023-09-07,6.0,0,1,1
2023-09-08,-7.899999999999977,0,1,1
2023-09-11,6.899999999999977,0,1,1
2023-09-12,1.5,0,1,1
2023-09-13,-2.3000000000000114,0,1,1
2023-09-14,-3.0,0,1,1
2023-09-15,1.0,0,1,1
2023-09-18,4.800000000000011,0,1,1
2023-09-19,-2.3000000000000114,0,1,1
2023-09-20,0.0,0,1,1
2023-09-21,7.800000000000011,0,1,1
2023-09-22,-3.5,0,1,1
2023-09-25,2.0,0,1,1
2023-09-26,4.0,0,1,1
2023-09-27,-4.300000000000068,0,1,1
2023-10-04,37.30000000000007,0,1,1
2023-10-05,-5.0,0,1,1
2023-10-06,-9.100000000000023,0,1,1
2023-10-10,-1.8999999999999773,0,1,1
2023-10-11,-8.800000000000011,0,1,1
2023-10-12,-4.5,0,1,1
2023-10-13,7.300000000000011,0,1,1
2023-10-16,3.1999999999999886,0,1,1
2023-10-17,2.8000000000000114,0,1,1
2023-10-18,6.0,0,1,1
2023-10-19,7.5,0,1,1
2023-10-20,-4.300000000000011,0,1,1
2023-10-23,5.800000000000011,0,1,1
2023-10-24,-11.5,0,1,1
2023-10-25,2.6999999999999886,0,1,1
2023-10-26,11.300000000000068,0,1,1
2023-10-27,-11.000000000000057,0,1,1
2023-10-30,1.5,0,1,1
2023-10-31,3.0,0,1,1
2023-11-01,-5.0,0,1,1
2023-11-02,-12.5,0,1,1
2023-11-03,-6.0,0,1,1
2023-11-06,-4.299999999999898,0,1,1
2023-11-07,-0.10000000000007958,0,1,1
