,KTB_3Y_bp,KTB_10Y_bp,slope_10y_3y_bp
2022-12-26,366.99999999999994,363.5,-3.499999999999943
2022-12-27,366.5,360.5,-6.0
2022-12-28,366.59999999999997,366.99999999999994,0.39999999999997726
2022-12-29,372.5,373.5,1.0
2023-01-02,375.99999999999994,379.09999999999997,3.1000000000000227
2023-01-03,366.99999999999994,366.99999999999994,0.0
2023-01-04,362.5,357.50000000000006,-4.999999999999943
2023-01-05,365.5,357.50000000000006,-7.999999999999943
2023-01-06,368.8,357.50000000000006,-11.299999999999955
2023-01-09,356.0,346.20000000000005,-9.799999999999955
2023-01-10,354.99999999999994,347.2,-7.7999999999999545
2023-01-11,344.0,339.5,-4.5
2023-01-12,346.20000000000005,339.5,-6.7000000000000455
2023-01-13,336.5,329.5,-7.0
2023-01-16,344.5,337.2,-7.300000000000011
2023-01-17,348.1,344.2,-3.900000000000034
2023-01-18,337.3,332.0,-5.300000000000011
2023-01-19,326.7,323.70000000000005,-2.999999999999943
2023-01-20,331.9,327.2,-4.699999999999989
2023-01-25,328.20000000000005,322.0,-6.2000000000000455
2023-01-26,327.0,323.0,-4.0
2023-01-27,331.0,328.7,-2.3000000000000114
2023-01-30,326.5,323.49999999999994,-3.000000000000057
2023-01-31,331.5,327.99999999999994,-3.500000000000057
2023-02-01,327.0,324.2,-2.8000000000000114
2023-02-02,319.5,322.0,2.5
2023-02-03,311.6,315.49999999999994,3.8999999999999204
2023-02-06,329.7,329.5,-0.19999999999998863
2023-02-07,330.0,328.20000000000005,-1.7999999999999545
2023-02-08,332.9,330.50000000000006,-2.3999999999999204
2023-02-09,340.49999999999994,335.90000000000003,-4.599999999999909
2023-02-10,340.0,335.49999999999994,-4.500000000000057
2023-02-13,344.5,341.7,-2.8000000000000114
2023-02-14,342.49999999999994,339.2,-3.2999999999999545
2023-02-15,351.2,348.7,-2.5
2023-02-16,351.2,348.0,-3.1999999999999886
2023-02-17,363.7,361.9,-1.8000000000000114
2023-02-20,369.2,365.5,-3.6999999999999886
2023-02-21,361.5,359.5,-2.0
2023-02-22,363.2,362.90000000000003,-0.2999999999999545
2023-02-23,360.3,359.70000000000005,-0.5999999999999659
2023-02-24,355.1,352.0,-3.1000000000000227
2023-02-27,370.00000000000006,363.0,-7.000000000000057
2023-02-28,381.0,375.99999999999994,-5.000000000000057
2023-03-02,386.6,383.4,-3.2000000000000455
2023-03-03,379.00000000000006,377.2,-1.8000000000000682
